metric,category,value,unit,period,source,tag
Organised co-living penetration,PG market,5,percent,2025,Colliers India (8 May 2025),VERIFIED
Co-living bed demand,PG market,6600000,beds,2025,Colliers India,VERIFIED
Organised co-living stock,PG market,300000,beds,2025,Colliers India,VERIFIED
Co-living bed demand,PG market,9100000,beds,2030 forecast,Colliers India,VERIFIED
Organised co-living stock,PG market,1000000,beds,2030 forecast,Colliers India,VERIFIED
India co-living market size,PG market,40,billion INR,2025,Colliers India,VERIFIED
India co-living market size,PG market,206,billion INR,2030 forecast,Colliers India,VERIFIED
Capital inflows since 2015,PG market,1,billion USD,2015-2025,Colliers India,VERIFIED
Co-living investment yield,PG market,10,percent,2025,Colliers India,VERIFIED
Traditional rental yield,PG market,2-5,percent,2025,Colliers India,VERIFIED
Student housing demand,PG market,12000000,beds,2025,Colliers India / AISHE,VERIFIED
Campus accommodation capacity,PG market,4000000,beds,2025,AISHE FY2021-22 via Colliers,VERIFIED
Student housing gap,PG market,8000000,beds,2025,Colliers India,VERIFIED
India higher education enrolment,PG market,43300000,students,2025,AISHE via Colliers,VERIFIED
India gross enrolment ratio,PG market,28.4,percent,2025,AISHE via Colliers,VERIFIED
Urban migrants aged 20-34,PG market,50000000,people,2025,Colliers India,VERIFIED
Hyderabad organised co-living beds,Hyderabad PG,35000,beds,2025,Everything Coliving,ESTIMATE
Hyderabad co-living rent (single occupancy),Hyderabad PG,10500-17300,INR per month,Apr 2025,Colliers India,VERIFIED
Hyderabad 1BHK rent,Hyderabad PG,14000-26500,INR per month,Apr 2025,Colliers India,VERIFIED
Hyderabad co-living cost advantage,Hyderabad PG,25-35,percent,Apr 2025,Colliers India,VERIFIED
Hyderabad co-living rent band,Hyderabad PG,8000-16000,INR per month,2026,Everything Coliving,ESTIMATE
Madhapur PG double sharing,Hyderabad PG,15000,INR per month,2023,Telangana Today (29 Aug 2023),VERIFIED
Kondapur PG triple sharing,Hyderabad PG,13000,INR per month,2023,Telangana Today,VERIFIED
Kondapur PG twin sharing,Hyderabad PG,18000,INR per month,2023,Telangana Today,VERIFIED
Kondapur PG single AC,Hyderabad PG,30000,INR per month,2023,Telangana Today,VERIFIED
Ameerpet triple sharing rent increase,Hyderabad PG,25-30,percent,2023,Telangana Today,VERIFIED
Observed PG deposit range,Hyderabad PG,2000-17000,INR,Sep 2026,NoBroker listings,VERIFIED
Observed deposit to rent ratio,Hyderabad PG,0.29-2.00,ratio,Sep 2026,NoBroker listings,VERIFIED
MagicBricks Hyderabad PG listings,Platform inventory,1436,listings,2026,MagicBricks,SNIPPET
99acres Hyderabad PG listings,Platform inventory,284,listings,2026,99acres,SNIPPET
PGClub Hyderabad PG listings,Platform inventory,170,listings,2026,PGClub,SNIPPET
Women hostels audited,Regulatory,447,hostels,Jul 2026,NewsMeter Project Safe Stay,VERIFIED
Hostels with trade licence,Compliance,44,percent,Jul 2026,Hyderabad Stories,VERIFIED
Hostels scoring below 40/100,Compliance,62,percent,Jul 2026,Hyderabad Stories,VERIFIED
Hostels with fire exit plan,Compliance,0,percent,Jul 2026,NewsMeter Project Safe Stay,VERIFIED
Hostels with fire safety equipment,Compliance,38.9,percent,Jul 2026,NewsMeter,VERIFIED
Hostels with compound walls,Compliance,43,percent,Jul 2026,NewsMeter,VERIFIED
Hostels with CCTV,Compliance,97.5,percent,Jul 2026,NewsMeter,VERIFIED
CCTV non-functional,Compliance,30,percent,Jul 2026,Hyderabad Stories,VERIFIED
Hostels inspected by GHMC STF,Regulatory,58,hostels,May 2025,NewsMeter GHMC STF,VERIFIED
GHMC notices issued,Regulatory,30,notices,May 2025,NewsMeter,VERIFIED
GHMC kitchens sealed,Regulatory,5,kitchens,May 2025,NewsMeter,VERIFIED
GHMC penalties levied,Regulatory,245500,INR,May 2025,NewsMeter,VERIFIED
GST exemption threshold,Regulation,20000,INR per person per month,Jul 2024,GST Entry 12AA via TaxGuru,VERIFIED
GST exemption stay requirement,Regulation,90,days,Jul 2024,GST Entry 12AA,VERIFIED
GST rate on PG above threshold,Regulation,12,percent,Jul 2022,SAC 9963 via TaxGuru,VERIFIED
Stamp duty on rent agreement,Regulation,0.5,percent of annual rent,Sep 2025,MagicBricks,VERIFIED
Rent agreement registration fee,Regulation,0.2,percent of annual rent,Sep 2025,MagicBricks,VERIFIED
Telangana IT exports,Telangana economy,313000,crore INR,FY2024-25,Deccan Herald (21 Mar 2026),VERIFIED
Telangana IT export growth,Telangana economy,16.6,percent,FY2024-25,Deccan Herald,VERIFIED
Direct IT employment,Hyderabad economy,939000,jobs,Mar 2025,Deccan Herald / Hyderabad Mail,VERIFIED
